"","Codi","Altitud (m)","Superficie (km2)","Any","Perc_pob","Densit_pob","Perc_Densit_pob"
"87","080425",346,29.19,2020,0.778851564119523,108.119218910586,0.313828215663102
"88","080425",346,29.19,2021,0.778851564119523,108.119218910586,0.313828215663102
"89","081347",330,14.99,2011,0.280724430598963,74.1827885256838,0.220074834442087
"90","081347",330,14.99,2012,0.276561708614784,73.5823882588392,0.217307335398651
"91","081347",330,14.99,2013,0.278092336677122,74.0493662441628,0.219011643917441
"92","081347",330,14.99,2014,0.274150097178205,73.1154102735157,0.216204900193396
"93","081347",330,15,2015,0.273243833905713,72.9333333333333,0.215687888880549
"94","081347",330,15,2016,0.272089859420239,72.8,0.215140423749714
"95","081347",330,14.99,2017,0.267074014467129,71.847898599066,0.211535737480546
"96","081347",330,14.99,2018,0.272958411377123,73.9826551034023,0.216512161576249
"97","081347",330,14.99,2019,0.271947426752401,74.3162108072048,0.215874943172854
"98","081347",330,14.99,2020,0.281827783974808,76.184122748499,0.221133000635092
"99","081347",330,14.99,2021,0.281827783974808,76.184122748499,0.221133000635092
"100","080811",386,39.72,2011,0.114359862465225,11.404833836858,0.0338342217698792
"101","080811",386,39.72,2012,0.11082527217383,11.1278952668681,0.0328634789690707
"102","080811",386,39.72,2013,0.118502410133585,11.908358509567,0.0352206819021102
"103","080811",386,39.72,2014,0.120566009890415,12.134944612286,0.0358834680532735
"104","080811",386,39.7,2015,0.119138307836403,12.0151133501259,0.0355326476208752
"105","080811",386,39.7,2016,0.115114940523947,11.6372795969773,0.0343907865904891
"106","080811",386,39.72,2017,0.113574650534768,11.5307150050352,0.0339489163890429
"107","080811",386,39.72,2018,0.114696681426275,11.7321248741188,0.034334368141123
"108","080811",386,39.72,2019,0.114735449347961,11.8328298086606,0.034372197327787
"109","080811",386,39.72,2020,0.117222589656772,11.9587109768379,0.0347115061069345
"110","080811",386,39.72,2021,0.117222589656772,11.9587109768379,0.0347115061069345
"111","080863",181,29.14,2011,4.71904836437627,641.489361702128,1.90307843475144
"112","080863",181,29.14,2012,4.76974921394292,652.814001372684,1.9279242561441
"113","080863",181,29.14,2013,4.77867858538687,654.564172958133,1.93596762322489
"114","080863",181,29.14,2014,4.79512533111879,657.858613589568,1.94531160203335
"115","080863",181,29.1,2015,4.85694661255073,668.247422680412,1.97622773100283
"116","080863",181,29.1,2016,4.83806666699889,667.250859106529,1.97187682109258
"117","080863",181,29.14,2017,4.85643221849977,672.065888812629,1.9787071883456
"118","080863",181,29.14,2018,4.86550214256354,678.380233356211,1.98529737124559
"119","080863",181,29.14,2019,4.90481840063666,689.498970487303,2.00286787303824
"120","080863",181,29.14,2020,5.02551750688528,698.833218943034,2.02844216187287
"121","080863",181,29.14,2021,5.02551750688528,698.833218943034,2.02844216187287
"122","080885",252,18.8,2011,3.84632861924982,810.425531914894,2.40425398274237
"123","080885",252,18.8,2012,3.87938599790385,822.978723404255,2.4304635620641
"124","080885",252,18.8,2013,3.90481726076543,829.042553191489,2.45201251086054
"125","080885",252,18.8,2014,3.94265860558656,838.404255319149,2.47919156392473
"126","080885",252,18.8,2015,3.93131439275679,837.234042553191,2.4759768254647
"127","080885",252,18.8,2016,3.96473795155206,846.382978723404,2.50125264693817
"128","080885",252,18.8,2017,3.96370570774614,850.212765957447,2.5032100864328
"129","080885",252,18.8,2018,3.99395504185444,863.13829787234,2.52599664543521
"130","080885",252,18.8,2019,4.03136427772814,878.404255319149,2.55160303035028
"131","080885",252,18.8,2020,4.11340236715596,886.595744680851,2.57344404973729
"132","080885",252,18.8,2021,4.11340236715596,886.595744680851,2.57344404973729
"133","080961",145,14.87,2011,15.1470016510232,4034.96973772697,11.9703682573438
"134","080961",145,14.87,2012,15.0326207418774,4031.87626092804,11.9071466372811
"135","080961",145,14.87,2013,14.9701363905118,4018.35911230666,11.8848746407237
"136","080961",145,14.87,2014,14.9907074123082,4030.26227303295,11.9176306230744
"137","080961",145,14.9,2015,15.0111770215423,4033.62416107383,11.9287552080383
"138","080961",145,14.9,2016,14.9933472534373,4038.52348993289,11.9347480075183
"139","080961",145,14.87,2017,15.05112099172,4081.70813718897,12.0174306808723
"140","080961",145,14.87,2018,15.0092668026946,4100.9414929388,12.0015117853357
"141","080961",145,14.87,2019,14.9583290612687,4120.71284465367,11.9699139865863
"142","080961",145,14.87,2020,15.404035418497,4197.64626765299,12.1841412788216
"143","080961",145,14.87,2021,15.404035418497,4197.64626765299,12.1841412788216
"144","080977",177,23.29,2011,0.331214436102373,56.3331902103907,0.167121211746496
"145","080977",177,23.29,2012,0.340750101548043,58.3512237011593,0.172325868183903
"146","080977",177,23.29,2013,0.349243889484602,59.8540145985401,0.177026851101756
"147","080977",177,23.29,2014,0.357445701521583,61.356805495921,0.181434282578818
"148","080977",177,23.3,2015,0.353168904152357,60.68669527897,0.179470546451438
"149","080977",177,23.3,2016,0.355311483089067,61.2017167381974,0.180864880127277
"150","080977",177,23.29,2017,0.352874951334006,61.0991841992271,0.179889199838215
"151","080977",177,23.29,2018,0.364518852344021,63.5895234006011,0.186096391726207
"152","080977",177,23.29,2019,0.36617696600413,64.405324173465,0.187085637776194
"153","080977",177,23.29,2020,0.382022250081439,66.4662945470159,0.192925909284255
"154","080977",177,23.29,2021,0.382022250081439,66.4662945470159,0.192925909284255
"155","081056",45,3.03,2011,3.46386682756148,4528.38283828383,13.4341553240569
"156","081056",45,3.03,2012,3.41301720549814,4492.40924092409,13.2672165821992
"157","081056",45,3.03,2013,3.36892581197952,4437.95379537954,13.1258862250201
"158","081056",45,3.03,2014,3.35933923823293,4432.34323432343,13.1065984997542
"159","081056",45,3,2015,3.30989697158914,4417.33333333333,13.0635096135514
"160","081056",45,3,2016,3.30070912796695,4415.66666666667,13.0492911786285
"161","081056",45,3.03,2017,3.30879162027382,4403.6303630363,12.9652392707379
"162","081056",45,3.03,2018,3.290022619367,4411.55115511551,12.9105190285923
"163","081056",45,3.03,2019,3.29071033449045,4448.84488448845,12.9230772962213
"164","081056",45,3.03,2020,3.35305963298224,4484.15841584158,13.0157750728669
"165","081056",45,3.03,2021,3.35305963298224,4484.15841584158,13.0157750728669
"166","081069",198,27.63,2011,2.34601810571597,336.33731451321,0.99779720173991
"167","081069",198,27.63,2012,2.37622421808007,342.99674267101,1.01295581679221
"168","081069",198,27.63,2013,2.39359836451642,345.783568584872,1.0227046041921
"169","081069",198,27.63,2014,2.38530595501037,345.132102786826,1.02056805203474
"170","081069",198,27.6,2015,2.39025913206369,346.739130434783,1.02542181493266
"171","081069",198,27.6,2016,2.42115124907185,352.065217391304,1.04043214364149
"172","081069",198,27.63,2017,2.41755298703811,352.841114730366,1.03884047930827
"173","081069",198,27.63,2018,2.42142908126974,356.062251176258,1.04202542542071
"174","081069",198,27.63,2019,2.42604445876603,359.681505609844,1.04480871320641
"175","081069",198,27.63,2020,2.47228611196115,362.576909156714,1.0524203336633
"176","081069",198,27.63,2021,2.47228611196115,362.576909156714,1.0524203336633
"177","081075",145,22.33,2011,3.64941759778652,647.380206000896,1.92055454490503
"178","081075",145,22.33,2012,3.65673250991661,653.112404836543,1.92880551677099
"179","081075",145,22.33,2013,3.67257257959454,656.471115091805,1.94160767867349
"180","081075",145,22.33,2014,3.67601261690776,658.128078817734,1.94610842041327
"181","081075",145,22.3,2015,3.68204807992507,661.076233183857,1.95502016167091
"182","081075",145,22.3,2016,3.67744893331805,661.838565022421,1.95588227105531
"183","081075",145,22.33,2017,3.70307916252334,668.741603224362,1.96891977330325
"184","081075",145,22.33,2018,3.71927371895375,676.712942230184,1.98041800046376
"185","081075",145,22.33,2019,3.72426386223934,683.20644872369,1.98458925302547
"186","081075",145,22.33,2020,3.81750787242234,692.745185848634,2.01077095982235
"187","081075",145,22.33,2021,3.81750787242234,692.745185848634,2.01077095982235
"188","081081",125,10.83,2011,1.61668997621921,591.320406278855,1.75424438876399
"189","081081",125,10.83,2012,1.6032054078721,590.397045244691,1.74359125553319
"190","081081",125,10.83,2013,1.60992914908756,593.351800554017,1.7549232336739
"191","081081",125,10.83,2014,1.58937018017365,586.703601108033,1.73490366868141
"192","081081",125,10.8,2015,1.59425538557602,591.018518518518,1.74783642434053
"193","081081",125,10.8,2016,1.58719084661806,589.814814814815,1.74303584056481
"194","081081",125,10.83,2017,1.58359763824242,589.658356417359,1.73608160737403
"195","081081",125,10.83,2018,1.59492381039113,598.337950138504,1.75105155061719
"196","081081",125,10.83,2019,1.59701980773268,604.062788550323,1.75469145607319
"197","081081",125,10.83,2020,1.60335824210537,599.907663896584,1.74129959150909
"198","081081",125,10.83,2021,1.60335824210537,599.907663896584,1.74129959150909
"199","081154",96,3.61,2011,1.23776248491611,1358.17174515235,4.02922871866482
"200","081154",96,3.61,2012,1.23537582805534,1364.81994459834,4.03065723303662
"201","081154",96,3.61,2013,1.22310521410605,1352.35457063712,3.99978301904574
"202","081154",96,3.61,2014,1.19640503175489,1324.93074792244,3.91786791657373
"203","081154",96,3.6,2015,1.18788635654074,1321.11111111111,3.90696069285456
"204","081154",96,3.6,2016,1.17731189172219,1312.5,3.87873360125687
"205","081154",96,3.61,2017,1.17591919833159,1313.57340720222,3.86744393149122
"206","081154",96,3.61,2018,1.17994826342825,1327.97783933518,3.88636163595315
"207","081154",96,3.61,2019,1.17201040919055,1329.91689750693,3.86316432922993
"208","081154",96,3.61,2020,1.18950080451714,1335.18005540166,3.87551055767607
"209","081154",96,3.61,2021,1.18950080451714,1335.18005540166,3.87551055767607
"210","081249",65,10.77,2011,13.2306534921412,4866.20241411328,14.4363498856191
"211","081249",65,10.77,2012,13.098945404763,4850.69637883008,14.3253287893224
"212","081249",65,10.77,2013,13.0162245583092,4823.95543175487,14.2675415453186
"213","081249",65,10.77,2014,12.9368329160215,4802.13556174559,14.2000877237564
"214","081249",65,10.8,2015,12.9004058694973,4782.40740740741,14.1431538958465
"215","081249",65,10.8,2016,12.8298342045857,4767.68518518519,14.0895853165656
"216","081249",65,10.77,2017,12.6787002893922,4747.260909935,13.9769618482443
"217","081249",65,10.77,2018,12.5853764192484,4747.72516248839,13.8943409920015
"218","081249",65,10.77,2019,12.5276463609333,4764.90250696379,13.8411666410645
"219","081249",65,10.77,2020,12.7340750027146,4791.08635097493,13.9066679889517
"220","081249",65,10.77,2021,12.7340750027146,4791.08635097493,13.9066679889517
"221","081350",72,4,2011,2.25008709525949,2228.25,6.61045182570615
"222","081350",72,4,2012,2.21399808437765,2207.5,6.51930379325376
"223","081350",72,4,2013,2.21972802068406,2215,6.55118086598578
"224","081350",72,4,2014,2.21696378767375,2215.75,6.55205251275249
"225","081350",72,4,2015,2.20668123634093,2208.75,6.53200125089003
"226","081350",72,4,2016,2.18867886918258,2196,6.48967541970292
"227","081350",72,4,2017,2.16932542113133,2187,6.43900053989843
"228","081350",72,4,2018,2.16200783186353,2196,6.42665103269019
"229","081350",72,4,2019,2.13725289157744,2188.75,6.35791675513919
"230","081350",72,4,2020,2.17935303001885,2207.75,6.40824314225949
"231","081350",72,4,2021,2.17935303001885,2207.75,6.40824314225949
"232","081363",116,10.23,2011,4.04980334142856,1568.13294232649,4.65211141997177
"233","081363",116,10.23,2012,4.05991585302864,1582.79569892473,4.67439456577384
"234","081363",116,10.23,2013,4.04611823183381,1578.69012707722,4.66920295883927
"235","081363",116,10.23,2014,4.05647091782751,1585.2394916911,4.68761024251345
"236","081363",116,10.2,2015,4.03921323758976,1585.49019607843,4.68881672622895
"237","081363",116,10.2,2016,4.04098291215883,1590,4.6988087055226
"238","081363",116,10.23,2017,4.02718848184417,1587.48778103617,4.6739070320869
"239","081363",116,10.23,2018,4.00281572968995,1589.73607038123,4.65240389727704
"240","081363",116,10.23,2019,4.00182600247047,1602.44379276637,4.65480490654397
"241","081363",116,10.23,2020,4.1074795415733,1626.97947214076,4.72249124445386
"242","081363",116,10.23,2021,4.1074795415733,1626.97947214076,4.72249124445386
"243","081379",528,26.77,2011,0.0792693086403546,11.7295480014942,0.0347975370812006
"244","081379",528,26.77,2012,0.0759729806983497,11.3186402689578,0.0334267970282633
"245","081379",528,26.77,2013,0.080170763726738,11.9536794919686,0.0353547252216305
"246","081379",528,26.77,2014,0.0830454673933979,12.4019424729174,0.0366729903385719
"247","081379",528,26.8,2015,0.079675304402123,11.9029850746269,0.0352010473782855
"248","081379",528,26.8,2016,0.0797332921377991,11.9402985074627,0.0352862758323297
"249","081379",528,26.77,2017,0.0850569981079158,12.8128502054539,0.0377237994469845
"250","081379",528,26.77,2018,0.0790077998665974,11.991034740381,0.0350920745889315
"251","081379",528,26.77,2019,0.0834883482489417,12.7754949570415,0.0371104664500606
"252","081379",528,26.77,2020,0.0866213241463728,13.1116921927531,0.0380581640030018
"253","081379",528,26.77,2021,0.0866213241463728,13.1116921927531,0.0380581640030018
"254","081593",98,9.12,2011,4.57262734841638,1986.07456140351,5.89200054321479
"255","081593",98,9.12,2012,4.63660844578839,2027.63157894737,5.98810701877812
"256","081593",98,9.12,2013,4.65491496888372,2037.28070175439,6.02555049750583
"257","081593",98,9.12,2014,4.68581548397748,2054.05701754386,6.07392054299227
"258","081593",98,9.1,2015,4.72082422728692,2077.03296703297,6.14247060047501
"259","081593",98,9.1,2016,4.69355007499913,2070,6.11731699398226
"260","081593",98,9.12,2017,4.70417275249901,2080.04385964912,6.1240985529461
"261","081593",98,9.12,2018,4.68656547432985,2087.82894736842,6.11008563783503
"262","081593",98,9.12,2019,4.65825924352721,2092.32456140351,6.07781856591051
"263","081593",98,9.12,2020,4.70642527861959,2091.11842105263,6.06970684242465
"264","081593",98,9.12,2021,4.70642527861959,2091.11842105263,6.06970684242465
"265","081810",123,36.9,2011,2.6009926335082,279.214092140921,0.828332236129626
"266","081810",123,36.9,2012,2.60589831154438,281.653116531165,0.831792630117042
"267","081810",123,36.9,2013,2.6045476865724,281.734417344173,0.833270033496525
"268","081810",123,36.9,2014,2.63094043989084,285.040650406504,0.842875464169035
"269","081810",123,36.9,2015,2.62354043084608,284.661246612466,0.841837065739692
"270","081810",123,36.9,2016,2.64091613552666,287.235772357724,0.848846507982378
"271","081810",123,36.9,2017,2.6127129214723,285.528455284553,0.840657465813261
"272","081810",123,36.9,2018,2.62522490148638,289.051490514905,0.845916693997383
"273","081810",123,36.9,2019,2.59985645862933,288.617886178862,0.838381950597118
"274","081810",123,36.9,2020,2.65391942982932,291.436314363144,0.845926741217527
"275","081810",123,36.9,2021,2.65391942982932,291.436314363144,0.845926741217527
"276","081982",258,13.7,2011,1.40235990285723,405.474452554745,1.2029033255549
"277","081982",258,13.7,2012,1.4289439504947,415.985401459854,1.22850971944526
"278","081982",258,13.7,2013,1.4323008007055,417.299270072993,1.23422257042529
"279","081982",258,13.7,2014,1.42778171048649,416.642335766423,1.23202638518671
