"","Codi","Municipi","Usuaris_sexe_Dependencia_Home","Usuaris_sexe_Dependencia_Dona","Hores_SAD_Dependencia_Home","Hores_SAD_Dependencia_Dona","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia","Usuaris_sexe_Social_Dona","Usuaris_sexe_Social_Home","Hores_SAD_Social_Dona","Hores_SAD_Social_Home","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Any","Total_Hores_SADSOCDEP","Total_Usuaris_SADSOCDEP","Total_Usuaris_SADSOCDEP_Dones","Total_Usuaris_SADSOCDEP_Homes","Total_Hores_SADSOCDEP_Dones","Total_Hores_SADSOCDEP_Homes","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Densit.pob.De_71_a_100","perc.Densit.pob.De_71_a_100","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","Perc_VO_RFD_me_CUTTED","VO_RFD_Dico"
"21","081810","La Roca del Vallès",4,16,418,3127.67,3545.67,20,39,8,3429.27,741,4170.27,47,2019,7715.94,67,55,12,6556.94,1159,5319,5331,3568,3464,2586,1032,10650,0.629107981220657,1.03170136934909,0.225606316976875,1.87780269058296,1.93418013856813,2.59087393658159,6.4922480620155,123,36.9,2.59985645862933,288.617886178862,0.838381950597118,27.9674796747967,100,201928,190,1077,100,NA,"RFD VO me Per sobre la mitjana"
"22","081982","Sant Antoni de Vilamajor",5,15,617,1957,2574,20,42,8,3417,481,3898,50,2019,6472,70,57,13,5374,1098,3031,3104,2040,1906,1565,624,6135,1.14099429502853,1.83634020618557,0.428901352688882,3.43137254901961,3.67261280167891,4.47284345047923,11.2179487179487,258,13.7,1.49766379095689,447.810218978102,1.30080643945788,45.5474452554745,100,115914,190,1078,100,NA,"RFD VO me Per sobre la mitjana"
"23","082021","Sant Celoni",33,43,4574,6761.5,11335.5,76,84,19,3929.5,1022.5,4952,103,2019,16287.5,179,127,52,10691,5596.5,8939,8965,6023,5606,4164,2111,17904,0.999776586237712,1.41662018962632,0.581720550397136,2.97194089324257,3.19300749197289,4.29875120076849,8.47939365229749,152,65.23,4.3706882662253,274.47493484593,0.797299274527779,32.3624099340794,100,285623,161,911,100,NA,"RFD VO me Per sobre la mitjana"
"24","082074","Sant Esteve de Palautordera",2,2,417.5,223.75,641.25,4,2,5,52,286.5,338.5,7,2019,979.75,11,4,7,275.75,704,1391,1429,1028,883,672,237,2820,0.390070921985816,0.279916025192442,0.503235082674335,1.07003891050584,1.24575311438279,1.63690476190476,4.64135021097046,231,10.64,0.688412696087765,265.037593984962,0.769885532627651,22.2744360902256,100,51207,184,1046,100,NA,"RFD VO me Per sobre la mitjana"
"25","082107","Sant Feliu de Codines",10,15,1274.87,1614.49,2889.36,25,12,14,560,966,1526,26,2019,4415.36,51,27,24,2174.49,2240.87,3168,3091,2104,2064,1396,695,6259,0.814826649624541,0.873503720478809,0.757575757575758,2.42395437262357,2.47093023255814,3.65329512893983,7.33812949640288,480,15,1.52793442014657,417.266666666667,1.21208302974807,46.3333333333333,100,100476,162,918,100,NA,"RFD VO me Per sobre la mitjana"
"26","082093","Sant Fost de Campsentelles",7,12,784.67,1840,2624.67,19,14,11,1640.5,859.75,2500.25,25,2019,5124.92,44,26,18,3480.5,1644.42,4352,4385,2653,2529,2381,1174,8737,0.503605356529701,0.592930444697834,0.413602941176471,1.65849981153411,1.73981810992487,1.84796304073919,3.74787052810903,112,13.15,2.13285876798539,664.410646387833,1.92999089935446,89.277566539924,100,165089,190,1075,100,NA,"RFD VO me Per sobre la mitjana"
"27","082346","Sant Pere de Vilamajor",8,20,694,2411.5,3105.5,28,24,7,1583,376,1959,31,2019,5064.5,59,44,15,3994.5,1070,2239,2233,1449,1431,1156,436,4472,1.31932021466905,1.97044334975369,0.669941938365342,4.07177363699103,4.12299091544375,5.1038062283737,13.5321100917431,305,34.72,1.09169559464698,128.801843317972,0.374145698560434,12.5576036866359,100,80002,181,1029,100,NA,"RFD VO me Per sobre la mitjana"
"28","082482","Santa Eulàlia de Ronçana",8,10,597.75,702,1299.75,18,19,6,824,69,893,25,2019,2192.75,43,29,14,1526,666.75,3639,3649,2371,2321,1745,851,7288,0.590010976948408,0.794738284461496,0.384721077219016,1.8135807676086,1.8526497199483,2.46418338108883,5.05287896592244,236,14.23,1.7791318188254,512.157413914266,1.48772322247597,59.803232607168,100,135852,188,1067,100,NA,"RFD VO me Per sobre la mitjana"
"29","082592","Santa Maria de Palautordera",14,16,1757.75,2315.33,4073.08,30,46,17,4004,1280.33,5284.33,63,2019,9357.41,93,62,31,6319.33,3038.08,4760,4663,3068,2918,2413,1024,9423,0.986946832219038,1.32961612695689,0.651260504201681,3.03129074315515,3.18711446196025,3.85412349772068,9.08203125,208,16.94,2.30032370043795,556.257378984652,1.61582552142379,60.4486422668241,100,156600,167,950,100,NA,"RFD VO me Per sobre la mitjana"
"30","082943","Vallgorguina",3,5,98,845,943,8,8,0,480,0,480,8,2019,1423,16,13,3,1325,98,1451,1440,982,1057,650,202,2891,0.553441715669319,0.902777777777778,0.206753962784287,1.62932790224033,1.51371807000946,2.46153846153846,7.92079207920792,222,22.13,0.705745072478627,130.637144148215,0.379476910393362,9.12788070492544,100,50117,175,992,100,NA,"RFD VO me Per sobre la mitjana"
"31","082969","Vallromanes",5,8,564,1143,1707,13,9,1,810.5,12,822.5,10,2019,2529.5,23,17,6,1953.5,576,1328,1251,950,790,634,205,2579,0.891818534315626,1.35891286970424,0.451807228915663,2.42105263157895,2.91139240506329,3.62776025236593,11.219512195122,153,10.65,0.629580263549768,242.159624413146,0.703429232883862,19.2488262910798,100,58625,230,1305,100,NA,"RFD VO me Per sobre la mitjana"
"32","083067","Vilalba Sasserra",2,3,35,33,68,5,3,4,436,78,514,7,2019,582,12,6,6,469,113,357,359,240,266,123,87,716,1.67597765363128,1.67130919220056,1.68067226890756,5,4.51127819548872,9.75609756097561,13.7931034482759,200,6.05,0.174788471772638,118.347107438017,0.343776610989114,14.3801652892562,100,NA,NA,NA,NA,NA,NA
"33","089024","Vilanova del Vallès",8,14,1150.75,2237.5,3388.25,22,7,5,687.5,447,1134.5,12,2019,4522.75,34,21,13,2925,1597.75,2760,2672,1949,1888,1177,418,5432,0.625920471281296,0.785928143712575,0.471014492753623,1.7444843509492,1.80084745762712,2.88870008496177,8.13397129186603,91,15.2,1.32604885288962,357.368421052632,1.03808962739836,27.5,100,110983,207,1172,100,NA,"RFD VO me Per sobre la mitjana"
"34","080961","Granollers",59,135,10487,25952,36439,194,101,32,5080,2048,7128,133,2019,43567,327,236,91,31032,12535,30199,31076,20068,18780,15139,7288,61275,0.533659730722154,0.759428497876175,0.301334481274214,1.62945983655571,1.74121405750799,2.15998414690534,4.48682766190999,145,14.87,14.9583290612687,4120.71284465367,11.9699139865863,490.114324142569,100,1065003,175,991,100,NA,"RFD VO me Per sobre la mitjana"
"35","081249","Mollet del Vallès",46,153,10538,30127,40665,199,142,35,139285,369025,508310,177,2019,548975,376,295,81,169412,379563,25222,26096,16753,16460,12302,5803,51318,0.732686386842823,1.13044144696505,0.321148203948934,2.24437414194473,2.28432563791009,3.05641359128597,6.47940720317077,65,10.77,12.5276463609333,4764.90250696379,13.8411666410645,538.811513463324,100,830235,162,921,100,NA,"RFD VO me Per sobre la mitjana"
