"","Codi","Municipi","Usuaris_sexe_Dependencia_Dona","Usuaris_sexe_Dependencia_Home","Hores_SAD_Dependencia_Dona","Hores_SAD_Dependencia_Home","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia","Usuaris_sexe_Social_Dona","Usuaris_sexe_Social_Home","Hores_SAD_Social_Dona","Hores_SAD_Social_Home","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Any","Total_Hores_SADSOCDEP","Total_Usuaris_SADSOCDEP","Total_Usuaris_SADSOCDEP_Dones","Total_Usuaris_SADSOCDEP_Homes","Total_Hores_SADSOCDEP_Dones","Total_Hores_SADSOCDEP_Homes","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Densit.pob.De_71_a_100","perc.Densit.pob.De_71_a_100","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","Perc_VO_RFD_me_CUTTED","VO_RFD_Dico"
"21","081056","La Llagosta",24,8,2906.5,875,3781.5,32,24,8,2460,748.25,3208.25,32,2018,6989.75,64,48,16,5366.5,1623.25,6595,6772,4347,4288,3074,1658,13367,0.478791052592205,0.708800945067927,0.242608036391205,1.4722797331493,1.49253731343284,2.08197787898504,3.86007237635706,45,3.03,3.290022619367,4411.55115511551,12.9105190285923,547.194719471947,100,203366,152,861,100,NA,"RFD VO me Per sobre la mitjana"
"22","080863","Les Franqueses del Vallès",15,8,2457.5,982,3439.5,23,32,13,5046,1594.5,6640.5,45,2018,10080,68,47,21,7503.5,2576.5,10003,9765,6947,7085,4096,1640,19768,0.343990287333064,0.481310803891449,0.209937018894332,0.978839786958399,0.959774170783345,1.66015625,4.14634146341463,181,29.14,4.86550214256354,678.380233356211,1.98529737124559,56.2800274536719,100,323355,163,922,100,NA,"RFD VO me Per sobre la mitjana"
"23","081154","Martorelles",11,3,1053.5,246,1299.5,14,11,3,843.25,367.75,1211,14,2018,2510.5,28,22,6,1896.75,613.75,2410,2384,1451,1425,1286,632,4794,0.584063412599082,0.922818791946309,0.24896265560166,1.92970365265334,1.96491228070175,2.17729393468118,4.43037974683544,96,3.61,1.17994826342825,1327.97783933518,3.88636163595315,175.069252077562,100,87759,183,1040,100,NA,"RFD VO me Per sobre la mitjana"
"24","081982","Sant Antoni de Vilamajor",17,4,2143,599.5,2742.5,21,62,8,4504,882,5386,70,2018,8128.5,91,79,12,6647,1481.5,3032,3063,2041,1914,1522,618,6095,1.49302707136998,2.57917074763304,0.395778364116095,4.45859872611465,4.75444096133751,5.97897503285151,14.7249190938511,258,13.7,1.50016367659474,444.890510948905,1.30198363461924,45.1094890510949,100,115914,190,1078,100,NA,"RFD VO me Per sobre la mitjana"
"25","082093","Sant Fost de Campsentelles",18,7,1746.5,641.25,2387.75,25,12,9,1831.25,927,2758.25,21,2018,5146,46,30,16,3577.75,1568.25,4330,4392,2634,2571,2357,1160,8722,0.527401972024765,0.683060109289617,0.369515011547344,1.7463933181473,1.78918708673668,1.95163343232923,3.96551724137931,112,13.15,2.14674775836904,663.269961977186,1.94107676962344,88.212927756654,100,165089,190,1075,100,NA,"RFD VO me Per sobre la mitjana"
"26","082346","Sant Pere de Vilamajor",17,7,2006.5,539,2545.5,24,18,9,1094,542,1636,27,2018,4181.5,51,35,16,3100.5,1081,2168,2203,1408,1432,1100,431,4371,1.16678105696637,1.58874262369496,0.738007380073801,3.62215909090909,3.56145251396648,4.63636363636364,11.8329466357309,305,34.72,1.07583518136105,125.892857142857,0.368428716013416,12.4135944700461,100,80002,181,1029,100,NA,"RFD VO me Per sobre la mitjana"
"27","082567","Santa Maria de Martorelles",1,0,126,0,126,1,1,0,240,0,240,1,2018,366,2,2,0,366,0,439,443,284,293,211,94,882,0.226757369614512,0.451467268623025,0,0.704225352112676,0.68259385665529,0.947867298578199,2.12765957446809,181,4.51,0.217086851969903,195.565410199557,0.572327252011594,20.8425720620843,100,NA,NA,NA,NA,NA,NA
"28","082969","Vallromanes",9,5,836,735,1571,14,10,1,789,98,887,11,2018,2458,25,19,6,1625,833,1297,1233,919,790,624,197,2530,0.988142292490119,1.54095701540957,0.46260601387818,2.72034820457018,3.16455696202532,4.00641025641026,12.6903553299492,153,10.65,0.622709450661967,237.558685446009,0.695221662634845,18.4976525821596,100,58625,230,1305,100,NA,"RFD VO me Per sobre la mitjana"
"29","089024","Vilanova del Vallès",15,6,2303.25,897.25,3200.5,21,7,2,563,153.25,716.25,9,2018,3916.75,30,22,8,2866.25,1050.5,2701,2638,1912,1918,1119,390,5339,0.561902978085784,0.833965125094769,0.296186597556461,1.56903765690377,1.56412930135558,2.68096514745308,7.69230769230769,91,15.2,1.31408923204911,351.25,1.0279422473736,25.6578947368421,100,110983,207,1172,100,NA,"RFD VO me Per sobre la mitjana"
"30","080235","Bigues i Riells del Fai",7,2,366,106,472,9,60,21,1670.7,403.3,2074,81,2018,2546,90,67,23,2036.7,509.3,4587,4416,2994,2952,2227,830,9003,0.999666777740753,1.51721014492754,0.501417048179638,3.0060120240481,3.04878048780488,4.04131118096093,10.8433734939759,307,28.64,2.21591034952952,314.350558659218,0.919955073968124,28.9804469273743,100,168859,187,1061,100,NA,"RFD VO me Per sobre la mitjana"
"31","081593","Parets del Vallès",11,3,3061.9,706,3767.9,14,93,58,2632,3531,6163,151,2018,9930.9,165,104,61,5693.9,4237,9551,9490,6385,6454,4338,1864,19041,0.866551126516464,1.0958904109589,0.638676578368757,2.58418167580266,2.55655407499225,3.80359612724758,8.8519313304721,98,9.12,4.68656547432985,2087.82894736842,6.11008563783503,204.385964912281,100,331304,174,988,100,NA,"RFD VO me Per sobre la mitjana"
"32","081810","La Roca del Vallès",17,6,3063,404,3467,23,38,8,2898,438,3336,46,2018,6803,69,55,14,5961,842,5314,5352,3606,3536,2494,1030,10666,0.646915432214513,1.02765321375187,0.263455024463681,1.9134775374376,1.95135746606335,2.76663993584603,6.69902912621359,123,36.9,2.62522490148638,289.051490514905,0.845916693997383,27.9132791327913,100,201928,190,1077,100,NA,"RFD VO me Per sobre la mitjana"
"33","080977","Gualba",2,2,282,158,440,4,5,1,271.33,12,283.33,6,2018,723.33,10,7,3,553.33,170,750,731,491,546,317,127,1481,0.675219446320054,0.957592339261286,0.4,2.03665987780041,1.83150183150183,3.15457413249211,7.8740157480315,177,23.29,0.364518852344021,63.5895234006011,0.186096391726207,5.45298411335337,100,25612,172,977,100,NA,"RFD VO me Per sobre la mitjana"
"34","080961","Granollers",101,44,1949706,744992,2694698,145,84,40,992164,366153,1358317,124,2018,4053015,269,185,84,2941870,1111145,30023,30958,19958,19001,14917,7105,60981,0.441121004903167,0.597583823244396,0.279785497785031,1.34783044393226,1.4157149623704,1.80331165784005,3.78606615059817,145,14.87,15.0092668026946,4100.9414929388,12.0015117853357,477.807666442502,100,1065003,175,991,100,NA,"RFD VO me Per sobre la mitjana"
"35","081249","Mollet del Vallès",141,56,30178,97365,127543,197,128,57,13191,3855,17046,185,2018,144589,382,269,113,43369,101220,25152,25981,16710,16850,11982,5591,51133,0.747071362916316,1.0353720026173,0.44926844783715,2.28605625374028,2.26706231454006,3.18811550659322,6.83240922911823,65,10.77,12.5853764192484,4747.72516248839,13.8943409920015,519.127205199629,100,830235,162,921,100,NA,"RFD VO me Per sobre la mitjana"
